Год_выпуска,Жанр,Название,Режиссёр,Страна
1979,"фэнтези, приключенческий фильм",Арабские приключения (фильм),"Коннор, Кевин",Великобритания
2002,драма,Арам (фильм),Роберт Кешишян,Франция
2012,,Аравт (фильм),,
1922,мелодрама,Арабская любовь,Джером Сторм,США
1986,"документальный фильм, [1]",Арабески на тему Пиросмани,Сергей Параджанов,СССР
,"фэнтезийный фильм, приключенческий фильм",Арабские приключения (мини-сериал),Стив Бэррон,
1952,"драма, приключения",Араки Матаэмон: Дуэль на перекрёстке у лавки ключей,Кацуо Мори,Япония
"1942, и, 25 декабря, 1942, [1]","приключенческий фильм, [2], боевик, Фильм о цирке, [d]","Арабские ночи (фильм, 1942)",Джон Роулинз,США
1982,боевик,Атакующая группа «Зет»,"Тим Бёрсталл, [en]",Австралия
1958,"драма, киноповесть",Атаман Кодр,,СССР
"2002, и, 15 августа, 2002, [1]","ужасы, чёрная комедия",Атака пауков,Эллори Элкайем,
1910,трагедия,"Аталия (фильм, 1910)",,Франция
1934,мелодрама,Аталанта (фильм),Жан Виго,Франция
2013,"триллер, докудрама, криминальный, исторический",Атаки 26/11,"Рам Гопал Варма, [1]",Индия
2015,"фантастика, драма",Атака титанов (фильм),Синдзи Хигути,Япония
2011,"военный, ,, драма, ,, биография",Атака на Пёрл-Харбор (фильм),Идзуру Нарусима,Япония
2018,военный,Атака мертвецов: Осовец,Василий Чигинский,
1956,ужасы,Атака крабов-монстров,Роджер Корман,США
1968,"исторический фильм, военный фильм, [1], драматический фильм","Атака лёгкой кавалерии (фильм, 1968)",Тони Ричардсон,Великобритания
1987,"боевик, [1], военный фильм",Атака коммандос,Бруно Маттеи,Италия
1936,мелодрама,"Атака лёгкой кавалерии (фильм, 1936)",Майкл Кёртис,США
1912,драматический фильм,"Атака лёгкой кавалерии (фильм, 1912)",Джеймс Сирл-Доули,США
2006,"комедия, ,, хоррор, ,, мюзикл",Атака куриных зомби,Ллойд Кауфман,США
1969,"приключения, детектив, фантастика, семейный",Атака Годзиллы,Исиро Хонда,Япония
1986,кинодрама,"Атака (фильм, 1986)",Игорь Николаев,СССР
2020,,"Ася (фильм, 2020)",Рути Прибар,Израиль
1977,мелодрама,"Ася (фильм, 1977)",Иосиф Хейфиц,
1976,драма,Асы в небе,Джек Голд,
1950,"нуарный, фильм-ограбление",Асфальтовые джунгли,Джон Хьюстон,США
1929,"драматический фильм, немое кино","Асфальт (фильм, 1929)",Джоэ Май,Германия
"2024, и, 1 марта, 2024, [1]",фантастика,Астронавт (фильм),Юхан Ренк,США
2017,"научная фантастика, ,, комедия, ,, хоррор",Атомная школа: Возвращение. Часть 2,Ллойд Кауфман,США
2003,"криминальный фильм, триллер","Афера (фильм, 2003)",Джеймс Фоули,США
2021,криминальный фильм,Афера Оливера Твиста (фильм),Мартин Оуэн,Великобритания
1952,"Фильм нуар, Триллер, Мелодрама",Афера на Тринидаде,Винсент Шерман,США
2017,трагикомедия,Афера доктора Нока,Лоррэйн Леви,Франция
2020,"драма, , криминал, комедия","Афера века (фильм, 2020)",Ариэль Виноград,Аргентина
2019,"шпионский фильм, драматический фильм",Афера в Майами,Оливье Ассаяс,
2013,чёрная комедия,Афера по-американски,Дэвид О. Расселл,США
,драма,"Байрон (фильм, 2003)",Джулиан Фарино,Великобритания
1939,"мюзикл, ,, мелодрама","Балалайка (фильм, 1939)",Райнхольд Шюнцель,США
1993,драма,"Балерина (фильм, 1993)",Александр Згуриди,Россия
1920,комедия,Балда (фильм),Уинчел Смит,США
1985,"приключенческий фильм, комедия",Балбесы (фильм),Ричард Доннер,США
1978,комедия,Баламут (фильм),Владимир Роговой,СССР
2000,драма,"Балалайка (фильм, 2000)",Али Озгентюрк,Турция
1990,трагикомедия,Балаган (фильм),Андрей Бенкендорф,СССР
1967,"комедия, драма",Бал пожарных (фильм),Милош Форман,
2021,драматический фильм,Бал безумных женщин,Мелани Лоран,Франция
1976,документальный фильм,Бала (фильм),Сатьяджит Рай,Индия
1917,"драматический фильм, немое кино",Бал-маскарад (фильм),Альфред Деэши,Австро-Венгрия
1916,комедия,Бал официантов,Роско Арбакл,США
2001,"драма, /, мелодрама",Бал монстров,Марк Форстер,США
1967,"комедийный, фильм ужасов",Бал вампиров,Роман Полански,
1947,драма,Бал в доме Андзё,Кодзабуро Ёсимура,Япония
2005,"романтическая комедия, сатира",Бакстер (фильм),Майкл Шоуолтер,США
1938,исторический фильм,Бакинцы,Виктор Турин,СССР
2011,комедия,Баки Ларсон: Рождённый быть звездой,Том Брейди,США
1983,"музыкальный фильм, исторический фильм",Бал (фильм),Этторе Скола,
1990,комедия,Бакенбарды (фильм),Юрий Мамин,СССР
"30 марта, 1979, [1], ,, 12 июля, 1979, [1], ,, 25 июля, 1979, [1], ,, 26 июля, 1979, [1], ,, 26 июля, 1979, [1], ,, 30 июля, 1979, [1], ,, 31 августа, 1979, [1], ,, 13 сентября, 1979, [1], ,, 12 октября, 1979, [1], ,, 17 декабря, 1979, [1], и, 21 января, 1980, [1]","боевик, [2], научно-фантастический фильм, [2], приключенческий фильм, [2]",Бак Роджерс в XXV веке (фильм),"Дэниел Хэллер, [2]",США
1997,фильм ужасов,"Байки у костра (фильм, 1997)",,США
1996,"Фильм ужасов, Комедия",Байки из склепа: Кровавый бордель,Гилберт Адлер,США
1995,"Фильм ужасов, комедия",Байки из склепа: Демон ночи,,США
1998,"драма, ,, триллер",Балет пуль,Синъя Цукамото,Япония
2024,"боевик, триллер","Балерина (фильм, 2024)",Лен Уайзман,США
1972,комедия ужасов,Байки из склепа (фильм),Фредди Фрэнсис,
2013,"боевик, /, триллер",Байкеры 3,"Виджай Кришна Ачария, (англ.), (, рус.",Индия
2006,"боевик, триллер, мелодрама, Саундтрек",Байкеры 2: Настоящие чувства,Санджай Гадхви,Индия
"31 августа, 2023, ,, 21 июня, 2024, и, 23 августа, 2024","драматический фильм, экранизация книги, [d], байкерский фильм","Байкеры (фильм, 2023)",Джефф Николс,США
2004,"боевик, комедия, Саундтрек","Байкеры (фильм, 2004)",Санджай Гадхви,Индия
1994,комедия,Барселона (фильм),Уайт Стиллмэн,США
"16 декабря, 2016","биографический фильм, драматический фильм","Барри (фильм, 2016)","Викрам Ганди, [d]",США
1934,"биографический фильм, драматический фильм, [1], [2], романтический фильм, [1]","Барретты с Уимпоул-стрит (фильм, 1934)",Сидни Франклин,США
1997,"комедия, триллер, драма","Барракуда (фильм, 1997)",Филипп Аим,Франция
1978,"фильм ужасов, /, триллер","Барракуда (фильм, 1978)",,США
1962,фильм ужасов,Барон фон Клаус — садист,Хесус Франко,Испания
1962,"фантастика, приключения, кинокомедия","Барон Мюнхгаузен (фильм, 1962)",Карел Земан,Чехословакия
1975,драма,Барри Линдон,Стэнли Кубрик,
2009,триллер,"Беги, сука, беги",Джозеф Гузман,США
1996,"боевик, драма, криминал",Бег от смерти,Виктор Дерюгин,Белоруссия
1998,триллер,"Беги, Лола, беги",Том Тыквер,Германия
2010,драма,"Беги, если сможешь!",Дитрих Брюггеманн,Германия
2006,"боевик, драма, криминальный фильм","Беги без оглядки (фильм, 2006)",Уэйн Крэймер,
1991,"триллер, драма, боевик",Беги,Джофф Барроус,США
1959,"научная фантастика, триллер, ужасы","Бегемот, морской монстр",,
1992,драма,Бег по солнечной стороне,Олег Кавун,Россия
2007,комедия,"Беги, толстяк, беги",Дэвид Швиммер,Великобритания
1988,драма,Бег на месте,Сидни Люмет,США
1968,мелодрама,Бег иноходца (фильм),Сергей Урусевский,СССР
1972,"гангстерский фильм, драма",Бег зайца через поля,Рене Клеман,Франция
1970,,"Бег (фильм, 1970)",,СССР
1968,,"Бег (фильм, 1968)",Здравко Шотра,Югославия
1971,,"Бег (телеспектакль, 1971)",Филипп Жулиа,Франция
1956,драматический фильм,"Беатриче Ченчи (фильм, 1956)","Риккардо Фреда, [1]",
2017,"комедия, драма",Беатрис на ужине,Мигель Артета,
,"фильм ужасов, триллер, комедия",Башня ужаса,Ди Джей Макхейл,США
1981,фильм о боевых искусствах,"Башня смерти (фильм, 1981)",Ын Сиюнь,Гонконг
,триллер,"Башня смерти (фильм, 1975)",Джерри Джеймсон,США
2023,драматический фильм,Башня без тени,"Чжан Люй, [d]",Китай
"25 декабря, 2012, [1]","драматический фильм, [2], фильм-катастрофа, рождественский фильм, [d]","Башня (фильм, 2012)","Ким Джихун, [d]",Республика Корея
1987,"драма, триллер","Башня (фильм, 1987)",Виктор Трегубович,СССР
1928,"авангард, документальный фильм","Башня (фильм, 1928)",Рене Клер,Франция
2006,фильм-катастрофа,Башни-близнецы (фильм),Оливер Стоун,США
